0 3,0,0
1 3,1,0
2 6,4,0
3 8,7,0
4 11,8,0
5 11,10,0
6 11,13,0
7 11,13,0
8 14,13,0
9 16,16,0
10 16,17,0
11 19,17,0
12 21,17,0
13 24,19,0
14 24,19,0
15 27,21,0
16 27,23,0
17 29,25,0
18 30,27,0
19 32,27,0
20 35,27,0
21 36,30,0
22 37,31,0
23 38,34,0
24 40,37,0
25 41,38,0
26 44,39,0
27 44,42,0
28 46,43,0
29 46,46,0
30 49,46,0
31 52,49,0
32 52,50,0
33 53,50,0
34 53,50,0
35 55,51,0
36 57,52,0
37 57,52,0
38 57,54,0
39 58,54,0
40 61,55,0
41 63,55,0
42 66,56,0
43 66,56,0
44 67,57,0
45 68,58,0
46 68,58,0
47 71,61,0
48 74,63,0
49 77,63,0
50 77,63,0
51 80,66,0
52 83,69,0
53 86,71,0
54 87,72,0
55 89,74,0
56 92,76,0
57 93,79,0
58 93,80,0
59 96,82,0
60 99,84,0
61 101,85,0
62 101,87,0
63 103,90,0
64 103,90,0
65 106,92,0
66 109,94,0
67 109,95,0
68 111,98,0
69 112,100,0
70 114,100,0
71 116,100,0
72 116,100,0
73 116,102,0
74 119,102,0
75 119,102,0
76 121,103,0
77 122,103,0
78 122,106,0
79 123,109,0
80 126,112,0
81 126,115,0
82 126,117,0
83 126,120,0
84 128,121,0
85 129,121,0
86 130,121,0
87 133,121,0
88 135,121,0
89 136,124,0
90 136,127,0
91 137,129,0
92 140,129,0
93 141,132,0
94 143,134,0
95 144,135,0
96 146,136,0
97 147,138,0
98 149,138,0
99 151,139,0
100 153,142,0
101 153,144,0
102 156,145,0
103 157,146,0
104 157,146,0
105 160,148,0
106 163,151,0
107 164,154,0
108 164,154,0
109 167,157,0
110 170,158,0
111 171,158,0
112 171,159,0
113 172,160,0
114 172,161,0
115 172,163,0
116 175,166,0
117 178,166,0
118 180,166,0
119 181,167,0
120 182,167,0
121 182,167,0
122 182,167,0
123 185,168,0
124 186,171,0
125 187,174,0
126 188,175,0
127 191,176,0
128 194,178,0
129 197,180,0
130 197,181,0
131 198,181,0
132 200,183,0
133 200,184,0
134 200,187,0
135 200,189,0
136 200,190,0
137 201,190,0
138 202,191,0
139 204,194,0
140 205,194,0
141 205,196,0
142 207,198,0
143 209,201,0
144 210,204,0
145 211,206,0
146 213,206,0
147 214,209,0
148 216,209,0
149 216,211,0
150 216,211,0
151 216,214,0
152 216,217,0
153 217,220,0
154 218,223,0
155 220,225,0
156 223,228,0
157 226,229,0
158 229,232,0
159 229,234,0
160 232,236,0
161 235,236,0
162 237,237,0
163 237,240,0
164 239,241,0
165 239,244,0
166 239,246,0
167 241,246,0
168 243,247,0
169 243,250,0
170 244,251,0
171 245,252,0
172 245,255,0
173 248,258,0
174 251,261,0
175 252,262,0
176 254,264,0
177 254,265,0
178 255,267,0
179 257,270,0
180 258,273,0
181 261,273,0
182 264,276,0
183 264,276,0
184 267,278,0
185 269,281,0
186 269,282,0
187 270,283,0
188 273,285,0
189 273,286,0
190 276,288,0
191 278,290,0
192 280,290,0
193 283,291,0
194 284,292,0
195 286,295,0
196 287,298,0
197 288,300,0
198 288,300,0
199 288,301,0
200 288,304,0
201 288,307,0
202 291,310,0
203 292,311,0
204 295,313,0
205 296,315,0
206 299,315,0
207 301,317,0
208 304,320,0
209 307,323,0
210 309,323,0
211 309,325,0
212 312,325,0
213 314,327,0
214 316,329,0
215 318,332,0
216 321,332,0
217 324,335,0
218 327,338,0
219 329,341,0
220 329,344,0
221 332,345,0
222 332,347,0
223 335,349,0
224 335,351,0
225 335,351,0
226 337,351,0
227 339,352,0
228 342,352,0
229 344,355,0
230 347,358,0
231 350,360,0
232 353,360,0
233 355,360,0
234 357,360,0
235 360,363,0
236 361,363,0
237 364,363,0
238 364,363,0
239 367,364,0
240 369,364,0
241 372,364,0
242 372,366,0
243 372,368,0
244 374,370,0
245 377,373,0
246 378,373,0
247 380,375,0
248 382,376,0
249 382,376,0
