station,ap1,rssi1,ocu1,con1,ap2,rssi2,ocu2,con2,ap3,rssi3,ocu3,con3,ap4,rssi4,ocu4,con4,associatedTo
sta5,1,-76.0,60.0,0.0449,1,-70.0,66.6666666667,0.0339,1,-74.0,46.6666666667,0.0354,1,-77.0,45.0,0.0567,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-63.0,35.0,0.0196,ap4
sta7,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0345,1,-73.0,35.0,0.0417,ap4
sta8,1,-70.0,46.6666666667,0.0293,1,-73.0,66.6666666667,0.0419,0,xx,yy,zz,1,-76.0,45.0,0.0515,ap1
sta9,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0350,1,-73.0,35.0,0.0419,ap4
sta10,1,-61.0,46.6666666667,0.0139,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta11,0,xx,yy,zz,1,-69.0,66.6666666667,0.0312,1,-67.0,46.6666666667,0.0212,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-70.0,66.6666666667,0.0331,1,-68.0,46.6666666667,0.0222,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0355,1,-71.0,35.0,0.0367,ap4
sta14,1,-62.0,46.6666666667,0.0154,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-69.0,46.6666666667,0.0267,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,1,-74.0,66.6666666667,0.0454,1,-55.0,46.6666666667,0.0082,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-72.0,66.6666666667,0.0370,1,-64.0,46.6666666667,0.0160,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-64.0,35.0,0.0206,ap4
sta20,0,xx,yy,zz,1,-55.0,55.5555555556,0.0106,1,-75.0,60.0,0.0395,0,xx,yy,zz,ap2
sta22,1,-74.0,60.0,0.0389,1,-63.0,55.5555555556,0.0191,1,-77.0,60.0,0.0441,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-65.0,55.5555555556,0.0229,1,-73.0,60.0,0.0325,0,xx,yy,zz,ap2
sta1,1,-71.0,60.0,0.0299,1,-68.0,55.5555555556,0.0283,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-61.0,55.5555555556,0.0171,1,-75.0,60.0,0.0392,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-72.0,60.0,0.0305,1,-75.0,35.0,0.0483,ap4
sta4,0,xx,yy,zz,0,xx,yy,zz,1,-69.0,46.6666666667,0.0239,1,-75.0,45.0,0.0489,ap3
sta5,1,-76.0,60.0,0.0445,1,-70.0,66.6666666667,0.0341,1,-74.0,46.6666666667,0.0359,1,-77.0,45.0,0.0563,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-63.0,35.0,0.0188,ap4
sta7,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0346,1,-73.0,35.0,0.0418,ap4
sta8,1,-71.0,46.6666666667,0.0298,1,-73.0,66.6666666667,0.0418,0,xx,yy,zz,1,-76.0,45.0,0.0514,ap1
sta9,0,xx,yy,zz,1,-75.0,66.6666666667,0.0493,1,-74.0,60.0,0.0356,1,-73.0,35.0,0.0427,ap4
sta10,1,-62.0,46.6666666667,0.0158,0,xx,yy,zz,0,xx,yy,zz,1,-77.0,45.0,0.0565,ap1
sta11,0,xx,yy,zz,1,-70.0,66.6666666667,0.0317,1,-68.0,46.6666666667,0.0219,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-71.0,66.6666666667,0.0350,1,-67.0,46.6666666667,0.0206,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-73.0,60.0,0.0336,1,-72.0,35.0,0.0386,ap4
sta14,1,-60.0,46.6666666667,0.0135,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-69.0,46.6666666667,0.0264,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,1,-74.0,66.6666666667,0.0457,1,-57.0,46.6666666667,0.0097,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-72.0,66.6666666667,0.0375,1,-64.0,46.6666666667,0.0170,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-65.0,35.0,0.0225,ap4
sta20,0,xx,yy,zz,1,-53.0,55.5555555556,0.0087,1,-76.0,60.0,0.0415,0,xx,yy,zz,ap2
sta22,1,-74.0,60.0,0.0379,1,-62.0,55.5555555556,0.0182,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-64.0,55.5555555556,0.0213,1,-74.0,60.0,0.0343,0,xx,yy,zz,ap2
sta1,1,-71.0,60.0,0.0298,1,-68.0,55.5555555556,0.0286,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-61.0,55.5555555556,0.0165,1,-75.0,60.0,0.0393,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-72.0,60.0,0.0300,1,-75.0,35.0,0.0487,ap4
sta4,0,xx,yy,zz,0,xx,yy,zz,1,-69.0,46.6666666667,0.0233,1,-75.0,45.0,0.0496,ap3
sta5,1,-76.0,60.0,0.0440,1,-71.0,66.6666666667,0.0344,1,-74.0,46.6666666667,0.0364,1,-77.0,45.0,0.0559,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-62.0,35.0,0.0180,ap4
sta7,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0347,1,-73.0,35.0,0.0420,ap4
sta8,1,-71.0,46.6666666667,0.0303,1,-73.0,66.6666666667,0.0416,0,xx,yy,zz,1,-76.0,45.0,0.0513,ap1
sta9,0,xx,yy,zz,0,xx,yy,zz,1,-75.0,60.0,0.0374,1,-73.0,35.0,0.0410,ap4
sta10,1,-62.0,46.6666666667,0.0156,1,-75.0,66.6666666667,0.0492,0,xx,yy,zz,0,xx,yy,zz,ap1
sta11,0,xx,yy,zz,1,-69.0,66.6666666667,0.0312,1,-67.0,46.6666666667,0.0212,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-71.0,66.6666666667,0.0368,1,-66.0,46.6666666667,0.0191,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-73.0,60.0,0.0317,1,-73.0,35.0,0.0405,ap4
sta14,1,-60.0,46.6666666667,0.0135,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-69.0,46.6666666667,0.0262,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,1,-75.0,66.6666666667,0.0476,1,-56.0,46.6666666667,0.0089,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-72.0,66.6666666667,0.0370,1,-64.0,46.6666666667,0.0160,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-65.0,35.0,0.0224,ap4
sta20,0,xx,yy,zz,1,-55.0,55.5555555556,0.0106,1,-75.0,60.0,0.0395,0,xx,yy,zz,ap2
sta22,1,-73.0,60.0,0.0369,1,-62.0,55.5555555556,0.0175,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-63.0,55.5555555556,0.0198,1,-74.0,60.0,0.0362,0,xx,yy,zz,ap2
sta1,1,-71.0,60.0,0.0296,1,-68.0,55.5555555556,0.0290,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-61.0,55.5555555556,0.0160,1,-75.0,60.0,0.0394,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-72.0,60.0,0.0295,1,-75.0,35.0,0.0491,ap4
sta4,0,xx,yy,zz,0,xx,yy,zz,1,-68.0,46.6666666667,0.0228,1,-76.0,45.0,0.0502,ap3
sta5,1,-76.0,60.0,0.0436,1,-71.0,66.6666666667,0.0347,1,-75.0,46.6666666667,0.0369,1,-77.0,45.0,0.0556,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-62.0,35.0,0.0172,ap4
sta7,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0348,1,-73.0,35.0,0.0421,ap4
sta8,1,-71.0,46.6666666667,0.0308,1,-73.0,66.6666666667,0.0415,0,xx,yy,zz,1,-76.0,45.0,0.0512,ap1
sta9,0,xx,yy,zz,1,-75.0,66.6666666667,0.0493,1,-74.0,60.0,0.0356,1,-73.0,35.0,0.0427,ap4
sta10,1,-62.0,46.6666666667,0.0158,0,xx,yy,zz,0,xx,yy,zz,1,-77.0,45.0,0.0565,ap1
sta11,0,xx,yy,zz,1,-69.0,66.6666666667,0.0307,1,-67.0,46.6666666667,0.0206,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-71.0,66.6666666667,0.0350,1,-67.0,46.6666666667,0.0206,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-73.0,60.0,0.0336,1,-72.0,35.0,0.0386,ap4
sta14,1,-58.0,46.6666666667,0.0116,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-69.0,46.6666666667,0.0261,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,1,-75.0,66.6666666667,0.0481,1,-58.0,46.6666666667,0.0107,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-71.0,66.6666666667,0.0366,1,-63.0,46.6666666667,0.0152,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-64.0,35.0,0.0205,ap4
sta20,0,xx,yy,zz,1,-55.0,55.5555555556,0.0105,1,-75.0,60.0,0.0395,0,xx,yy,zz,ap2
sta22,1,-74.0,60.0,0.0385,1,-60.0,55.5555555556,0.0157,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-63.0,55.5555555556,0.0187,1,-74.0,60.0,0.0356,0,xx,yy,zz,ap2
sta1,1,-71.0,60.0,0.0295,1,-69.0,55.5555555556,0.0294,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-60.0,55.5555555556,0.0154,1,-75.0,60.0,0.0395,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-71.0,60.0,0.0290,1,-75.0,35.0,0.0495,ap4
sta4,0,xx,yy,zz,0,xx,yy,zz,1,-68.0,46.6666666667,0.0223,1,-76.0,45.0,0.0508,ap3
sta5,1,-76.0,60.0,0.0431,1,-71.0,66.6666666667,0.0350,1,-75.0,46.6666666667,0.0375,1,-77.0,45.0,0.0552,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-61.0,35.0,0.0164,ap4
sta7,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0348,1,-73.0,35.0,0.0423,ap4
sta8,1,-71.0,46.6666666667,0.0313,1,-73.0,66.6666666667,0.0413,0,xx,yy,zz,1,-76.0,45.0,0.0511,ap1
sta9,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0350,1,-73.0,35.0,0.0419,ap4
sta10,1,-62.0,46.6666666667,0.0156,1,-75.0,66.6666666667,0.0492,0,xx,yy,zz,0,xx,yy,zz,ap1
sta11,0,xx,yy,zz,1,-69.0,66.6666666667,0.0303,1,-67.0,46.6666666667,0.0202,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-71.0,66.6666666667,0.0344,1,-66.0,46.6666666667,0.0196,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-73.0,60.0,0.0339,1,-72.0,35.0,0.0385,ap4
sta14,1,-56.0,46.6666666667,0.0097,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-69.0,46.6666666667,0.0262,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,1,-75.0,66.6666666667,0.0499,1,-58.0,46.6666666667,0.0102,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-71.0,66.6666666667,0.0347,1,-64.0,46.6666666667,0.0170,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-64.0,35.0,0.0206,ap4
sta20,0,xx,yy,zz,1,-53.0,55.5555555556,0.0086,1,-76.0,60.0,0.0414,0,xx,yy,zz,ap2
sta22,1,-73.0,60.0,0.0369,1,-62.0,55.5555555556,0.0175,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-62.0,55.5555555556,0.0177,1,-74.0,60.0,0.0352,0,xx,yy,zz,ap2
sta1,1,-71.0,60.0,0.0293,1,-69.0,55.5555555556,0.0298,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-60.0,55.5555555556,0.0148,1,-75.0,60.0,0.0396,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-71.0,60.0,0.0285,1,-75.0,35.0,0.0499,ap4
sta4,0,xx,yy,zz,0,xx,yy,zz,1,-68.0,46.6666666667,0.0218,1,-76.0,45.0,0.0514,ap3
sta5,1,-75.0,60.0,0.0427,1,-71.0,66.6666666667,0.0353,1,-75.0,46.6666666667,0.0380,1,-77.0,45.0,0.0549,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-60.0,35.0,0.0156,ap4
sta7,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0349,1,-73.0,35.0,0.0424,ap4
sta8,1,-72.0,46.6666666667,0.0318,1,-73.0,66.6666666667,0.0412,0,xx,yy,zz,1,-76.0,45.0,0.0510,ap1
sta9,0,xx,yy,zz,1,-75.0,66.6666666667,0.0493,1,-74.0,60.0,0.0356,1,-73.0,35.0,0.0427,ap4
sta10,1,-62.0,46.6666666667,0.0158,0,xx,yy,zz,0,xx,yy,zz,1,-77.0,45.0,0.0565,ap1
sta11,0,xx,yy,zz,1,-69.0,66.6666666667,0.0307,1,-67.0,46.6666666667,0.0206,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-70.0,66.6666666667,0.0340,1,-66.0,46.6666666667,0.0186,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0343,1,-72.0,35.0,0.0386,ap4
sta14,1,-56.0,46.6666666667,0.0097,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-69.0,46.6666666667,0.0264,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,0,xx,yy,zz,1,-60.0,46.6666666667,0.0121,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-71.0,66.6666666667,0.0352,1,-65.0,46.6666666667,0.0177,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-64.0,35.0,0.0209,ap4
sta20,0,xx,yy,zz,1,-55.0,55.5555555556,0.0105,1,-75.0,60.0,0.0395,0,xx,yy,zz,ap2
sta22,1,-73.0,60.0,0.0359,1,-61.0,55.5555555556,0.0169,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-61.0,55.5555555556,0.0168,1,-74.0,60.0,0.0349,0,xx,yy,zz,ap2
sta1,1,-70.0,60.0,0.0292,1,-69.0,55.5555555556,0.0301,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-59.0,55.5555555556,0.0143,1,-75.0,60.0,0.0398,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-71.0,60.0,0.0280,1,-76.0,35.0,0.0503,ap4
sta4,0,xx,yy,zz,1,-75.0,66.6666666667,0.0498,1,-67.0,46.6666666667,0.0213,1,-76.0,45.0,0.0520,ap3
sta5,1,-75.0,60.0,0.0423,1,-71.0,66.6666666667,0.0356,1,-75.0,46.6666666667,0.0385,1,-77.0,45.0,0.0545,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-60.0,35.0,0.0148,ap4
sta7,0,xx,yy,zz,1,-75.0,66.6666666667,0.0499,1,-74.0,60.0,0.0350,1,-73.0,35.0,0.0425,ap4
sta8,1,-72.0,46.6666666667,0.0323,1,-73.0,66.6666666667,0.0411,0,xx,yy,zz,1,-76.0,45.0,0.0508,ap1
sta9,0,xx,yy,zz,0,xx,yy,zz,1,-75.0,60.0,0.0374,1,-73.0,35.0,0.0410,ap4
sta10,1,-64.0,46.6666666667,0.0177,0,xx,yy,zz,0,xx,yy,zz,1,-77.0,45.0,0.0547,ap1
sta11,0,xx,yy,zz,1,-68.0,66.6666666667,0.0288,1,-68.0,46.6666666667,0.0225,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-70.0,66.6666666667,0.0321,1,-67.0,46.6666666667,0.0204,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0348,1,-72.0,35.0,0.0387,ap4
sta14,1,-56.0,46.6666666667,0.0097,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-70.0,46.6666666667,0.0283,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,0,xx,yy,zz,1,-62.0,46.6666666667,0.0140,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-72.0,66.6666666667,0.0370,1,-64.0,46.6666666667,0.0160,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-64.0,35.0,0.0206,ap4
sta20,0,xx,yy,zz,1,-57.0,55.5555555556,0.0125,1,-75.0,60.0,0.0375,0,xx,yy,zz,ap2
sta22,1,-73.0,60.0,0.0351,1,-61.0,55.5555555556,0.0166,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-61.0,55.5555555556,0.0162,1,-74.0,60.0,0.0347,0,xx,yy,zz,ap2
sta1,1,-70.0,60.0,0.0291,1,-69.0,55.5555555556,0.0305,0,xx,yy,zz,0,xx,yy,zz,ap2
sta2,0,xx,yy,zz,1,-59.0,55.5555555556,0.0137,1,-76.0,60.0,0.0399,0,xx,yy,zz,ap2
sta3,0,xx,yy,zz,0,xx,yy,zz,1,-71.0,60.0,0.0275,1,-76.0,35.0,0.0506,ap4
sta4,0,xx,yy,zz,1,-75.0,66.6666666667,0.0493,1,-67.0,46.6666666667,0.0209,1,-76.0,45.0,0.0526,ap3
sta5,1,-75.0,60.0,0.0418,1,-71.0,66.6666666667,0.0359,1,-75.0,46.6666666667,0.0390,1,-77.0,45.0,0.0542,ap3
sta6,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-59.0,35.0,0.0140,ap4
sta7,0,xx,yy,zz,1,-75.0,66.6666666667,0.0496,1,-74.0,60.0,0.0351,1,-73.0,35.0,0.0427,ap4
sta8,1,-72.0,46.6666666667,0.0329,1,-73.0,66.6666666667,0.0409,0,xx,yy,zz,1,-76.0,45.0,0.0508,ap1
sta9,0,xx,yy,zz,1,-75.0,66.6666666667,0.0492,1,-75.0,60.0,0.0381,1,-73.0,35.0,0.0419,ap4
sta10,1,-64.0,46.6666666667,0.0181,0,xx,yy,zz,0,xx,yy,zz,1,-76.0,45.0,0.0541,ap1
sta11,0,xx,yy,zz,1,-69.0,66.6666666667,0.0293,1,-68.0,46.6666666667,0.0230,0,xx,yy,zz,ap3
sta12,0,xx,yy,zz,1,-70.0,66.6666666667,0.0318,1,-66.0,46.6666666667,0.0196,0,xx,yy,zz,ap3
sta13,0,xx,yy,zz,0,xx,yy,zz,1,-74.0,60.0,0.0343,1,-72.0,35.0,0.0386,ap4
sta14,1,-58.0,46.6666666667,0.0116,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta15,1,-71.0,46.6666666667,0.0302,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,ap1
sta16,0,xx,yy,zz,1,-75.0,66.6666666667,0.0491,1,-62.0,46.6666666667,0.0144,0,xx,yy,zz,ap3
sta18,0,xx,yy,zz,1,-71.0,66.6666666667,0.0366,1,-63.0,46.6666666667,0.0152,0,xx,yy,zz,ap3
sta19,0,xx,yy,zz,0,xx,yy,zz,0,xx,yy,zz,1,-65.0,35.0,0.0225,ap4
sta20,0,xx,yy,zz,1,-59.0,55.5555555556,0.0144,1,-74.0,60.0,0.0356,0,xx,yy,zz,ap2
sta22,1,-73.0,60.0,0.0344,1,-61.0,55.5555555556,0.0164,0,xx,yy,zz,0,xx,yy,zz,ap2
sta24,0,xx,yy,zz,1,-61.0,55.5555555556,0.0168,1,-74.0,60.0,0.0349,0,xx,yy,zz,ap2
