station,ap1,rssi1,ocu1,con1,ap2,rssi2,ocu2,con2,ap3,rssi3,ocu3,con3,ap4,rssi4,ocu4,con4,associatedTo
sta24,0,-100.0,100.0,1.0,1,-62.0,50.0,0.0177,1,-74.0,66.6666666667,0.0352,0,-100.0,100.0,1.0,2
sta1,1,-73.0,46.6666666667,0.0352,1,-72.0,61.1111111111,0.0392,0,-100.0,100.0,1.0,1,-76.0,45.0,0.0516,1
sta2,0,-100.0,100.0,1.0,1,-48.0,50.0,0.0059,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,53.3333333333,0.0136,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-69.0,61.1111111111,0.0305,1,-68.0,53.3333333333,0.0223,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0308,1,-75.0,61.1111111111,0.0485,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0457,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-69.0,35.0,0.0316,4
sta7,1,-76.0,60.0,0.0441,1,-73.0,61.1111111111,0.0419,1,-75.0,66.6666666667,0.0393,1,-75.0,35.0,0.0483,4
sta8,0,-100.0,100.0,1.0,1,-73.0,61.1111111111,0.0409,1,-73.0,66.6666666667,0.0329,1,-76.0,35.0,0.0507,4
sta9,1,-75.0,60.0,0.0424,1,-70.0,55.5555555556,0.0329,1,-75.0,60.0,0.0378,0,-100.0,100.0,1.0,2
sta10,1,-70.0,46.6666666667,0.0279,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,45.0,0.0444,1
sta11,0,-100.0,100.0,1.0,1,-67.0,66.6666666667,0.0256,1,-70.0,46.6666666667,0.0267,0,-100.0,100.0,1.0,3
sta12,0,-100.0,100.0,1.0,1,-67.0,66.6666666667,0.0265,1,-70.0,46.6666666667,0.0257,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,60.0,0.0355,1,-72.0,35.0,0.0390,4
sta14,1,-69.0,46.6666666667,0.0271,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-71.0,46.6666666667,0.0309,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-68.0,46.6666666667,0.0219,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0413,1,-74.0,46.6666666667,0.0360,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0331,4
sta20,0,-100.0,100.0,1.0,1,-63.0,55.5555555556,0.0187,1,-73.0,60.0,0.0319,0,-100.0,100.0,1.0,2
sta22,1,-73.0,60.0,0.0352,1,-63.0,55.5555555556,0.0193,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-63.0,55.5555555556,0.0194,1,-73.0,60.0,0.0333,0,-100.0,100.0,1.0,2
sta1,1,-73.0,46.6666666667,0.0356,1,-72.0,66.6666666667,0.0393,0,-100.0,100.0,1.0,1,-76.0,45.0,0.0514,1
sta2,0,-100.0,100.0,1.0,1,-49.0,55.5555555556,0.0065,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,46.6666666667,0.0134,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-69.0,66.6666666667,0.0299,1,-68.0,46.6666666667,0.0228,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0305,1,-75.0,66.6666666667,0.0490,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0456,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0324,4
sta7,1,-76.0,60.0,0.0438,1,-73.0,66.6666666667,0.0417,1,-75.0,60.0,0.0395,1,-75.0,35.0,0.0485,4
sta8,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0410,1,-73.0,60.0,0.0324,1,-76.0,35.0,0.0508,4
sta9,1,-75.0,60.0,0.0413,1,-71.0,55.5555555556,0.0343,1,-75.0,60.0,0.0391,1,-77.0,45.0,0.0557,2
sta10,1,-70.0,46.6666666667,0.0275,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,45.0,0.0451,1
sta11,0,-100.0,100.0,1.0,1,-66.0,66.6666666667,0.0238,1,-71.0,46.6666666667,0.0285,0,-100.0,100.0,1.0,3
sta12,0,-100.0,100.0,1.0,1,-66.0,66.6666666667,0.0247,1,-71.0,46.6666666667,0.0275,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-75.0,60.0,0.0373,1,-72.0,35.0,0.0371,4
sta14,1,-69.0,46.6666666667,0.0269,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-72.0,46.6666666667,0.0328,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-68.0,46.6666666667,0.0217,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0427,1,-74.0,46.6666666667,0.0349,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0324,4
sta20,0,-100.0,100.0,1.0,1,-64.0,55.5555555556,0.0206,1,-72.0,60.0,0.0300,0,-100.0,100.0,1.0,2
sta22,1,-73.0,60.0,0.0343,1,-63.0,55.5555555556,0.0188,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-64.0,55.5555555556,0.0203,1,-73.0,60.0,0.0338,0,-100.0,100.0,1.0,2
sta1,1,-73.0,46.6666666667,0.0360,1,-72.0,66.6666666667,0.0394,0,-100.0,100.0,1.0,1,-76.0,45.0,0.0512,1
sta2,0,-100.0,100.0,1.0,1,-50.0,55.5555555556,0.0070,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,46.6666666667,0.0132,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-68.0,66.6666666667,0.0293,1,-69.0,46.6666666667,0.0233,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0303,1,-75.0,66.6666666667,0.0494,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0454,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0332,4
sta7,1,-76.0,60.0,0.0435,1,-73.0,66.6666666667,0.0414,1,-75.0,60.0,0.0397,1,-75.0,35.0,0.0486,4
sta8,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0412,1,-73.0,60.0,0.0319,1,-76.0,35.0,0.0509,4
sta9,1,-75.0,60.0,0.0424,1,-70.0,55.5555555556,0.0329,1,-75.0,60.0,0.0378,0,-100.0,100.0,1.0,2
sta10,1,-71.0,46.6666666667,0.0294,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,45.0,0.0433,1
sta11,0,-100.0,100.0,1.0,1,-66.0,66.6666666667,0.0246,1,-71.0,46.6666666667,0.0291,0,-100.0,100.0,1.0,3
sta12,0,-100.0,100.0,1.0,1,-67.0,66.6666666667,0.0265,1,-70.0,46.6666666667,0.0257,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,60.0,0.0367,1,-71.0,35.0,0.0368,4
sta14,1,-69.0,46.6666666667,0.0269,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-73.0,46.6666666667,0.0347,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-68.0,46.6666666667,0.0219,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0413,1,-74.0,46.6666666667,0.0360,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0317,4
sta20,0,-100.0,100.0,1.0,1,-63.0,55.5555555556,0.0187,1,-73.0,60.0,0.0319,0,-100.0,100.0,1.0,2
sta22,1,-72.0,60.0,0.0326,1,-64.0,55.5555555556,0.0207,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-64.0,55.5555555556,0.0213,1,-74.0,60.0,0.0343,0,-100.0,100.0,1.0,2
sta1,1,-73.0,46.6666666667,0.0363,1,-72.0,66.6666666667,0.0395,0,-100.0,100.0,1.0,1,-76.0,45.0,0.0510,1
sta2,0,-100.0,100.0,1.0,1,-51.0,55.5555555556,0.0076,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,46.6666666667,0.0130,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-68.0,66.6666666667,0.0286,1,-69.0,46.6666666667,0.0239,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0301,1,-75.0,66.6666666667,0.0499,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0453,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0340,4
sta7,1,-76.0,60.0,0.0432,1,-73.0,66.6666666667,0.0412,1,-76.0,60.0,0.0398,1,-75.0,35.0,0.0489,4
sta8,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0413,1,-72.0,60.0,0.0314,1,-76.0,35.0,0.0510,4
sta9,1,-76.0,60.0,0.0440,1,-71.0,55.5555555556,0.0342,1,-74.0,60.0,0.0364,1,-77.0,45.0,0.0561,2
sta10,1,-71.0,46.6666666667,0.0297,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-73.0,45.0,0.0426,1
sta11,0,-100.0,100.0,1.0,1,-67.0,66.6666666667,0.0255,1,-72.0,46.6666666667,0.0297,0,-100.0,100.0,1.0,3
sta12,0,-100.0,100.0,1.0,1,-67.0,66.6666666667,0.0261,1,-70.0,46.6666666667,0.0252,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,60.0,0.0348,1,-72.0,35.0,0.0387,4
sta14,1,-70.0,46.6666666667,0.0288,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-72.0,46.6666666667,0.0328,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-67.0,46.6666666667,0.0200,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0400,1,-74.0,46.6666666667,0.0345,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-69.0,35.0,0.0312,4
sta20,0,-100.0,100.0,1.0,1,-62.0,55.5555555556,0.0184,1,-73.0,60.0,0.0318,0,-100.0,100.0,1.0,2
sta22,1,-73.0,60.0,0.0343,1,-63.0,55.5555555556,0.0188,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-65.0,55.5555555556,0.0229,1,-73.0,60.0,0.0325,0,-100.0,100.0,1.0,2
sta1,1,-73.0,46.6666666667,0.0367,1,-72.0,66.6666666667,0.0396,0,-100.0,100.0,1.0,1,-76.0,45.0,0.0508,1
sta2,0,-100.0,100.0,1.0,1,-52.0,55.5555555556,0.0082,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,46.6666666667,0.0129,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-68.0,66.6666666667,0.0280,1,-69.0,46.6666666667,0.0244,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0299,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0451,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-71.0,35.0,0.0348,4
sta7,1,-75.0,60.0,0.0430,1,-73.0,66.6666666667,0.0410,1,-76.0,60.0,0.0400,1,-75.0,35.0,0.0491,4
sta8,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0414,1,-72.0,60.0,0.0309,1,-76.0,35.0,0.0512,4
sta9,1,-75.0,60.0,0.0424,1,-70.0,55.5555555556,0.0329,1,-75.0,60.0,0.0378,0,-100.0,100.0,1.0,2
sta10,1,-71.0,46.6666666667,0.0316,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-73.0,45.0,0.0408,1
sta11,0,-100.0,100.0,1.0,1,-66.0,66.6666666667,0.0238,1,-72.0,46.6666666667,0.0315,0,-100.0,100.0,1.0,3
sta12,0,-100.0,100.0,1.0,1,-68.0,66.6666666667,0.0280,1,-69.0,46.6666666667,0.0233,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-73.0,60.0,0.0330,1,-73.0,35.0,0.0407,4
sta14,1,-70.0,46.6666666667,0.0290,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-72.0,46.6666666667,0.0324,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,1,-75.0,66.6666666667,0.0495,1,-67.0,46.6666666667,0.0204,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-72.0,66.6666666667,0.0386,1,-73.0,46.6666666667,0.0330,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0330,4
sta20,0,-100.0,100.0,1.0,1,-63.0,55.5555555556,0.0187,1,-73.0,60.0,0.0319,0,-100.0,100.0,1.0,2
sta22,1,-73.0,60.0,0.0352,1,-63.0,55.5555555556,0.0193,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-65.0,55.5555555556,0.0220,1,-73.0,60.0,0.0319,0,-100.0,100.0,1.0,2
sta1,1,-74.0,46.6666666667,0.0371,1,-72.0,66.6666666667,0.0397,0,-100.0,100.0,1.0,1,-76.0,45.0,0.0507,1
sta2,0,-100.0,100.0,1.0,1,-53.0,55.5555555556,0.0088,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,46.6666666667,0.0128,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-68.0,66.6666666667,0.0274,1,-69.0,46.6666666667,0.0250,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0297,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0450,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-71.0,35.0,0.0356,4
sta7,1,-75.0,60.0,0.0427,1,-73.0,66.6666666667,0.0408,1,-76.0,60.0,0.0402,1,-75.0,35.0,0.0493,4
sta8,0,-100.0,100.0,1.0,1,-73.0,66.6666666667,0.0416,1,-72.0,60.0,0.0304,1,-76.0,35.0,0.0513,4
sta9,1,-75.0,60.0,0.0408,1,-69.0,55.5555555556,0.0316,1,-75.0,60.0,0.0392,0,-100.0,100.0,1.0,2
sta10,1,-72.0,46.6666666667,0.0321,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-73.0,45.0,0.0401,1
sta11,0,-100.0,100.0,1.0,1,-65.0,61.1111111111,0.0222,1,-73.0,53.3333333333,0.0333,0,-100.0,100.0,1.0,2
sta12,0,-100.0,100.0,1.0,1,-68.0,72.2222222222,0.0284,1,-69.0,40.0,0.0239,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-73.0,53.3333333333,0.0325,1,-73.0,35.0,0.0405,4
sta14,1,-71.0,46.6666666667,0.0309,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-73.0,46.6666666667,0.0343,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,1,-75.0,72.2222222222,0.0487,1,-66.0,40.0,0.0186,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-72.0,72.2222222222,0.0373,1,-72.0,40.0,0.0316,0,-100.0,100.0,1.0,3
sta19,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-70.0,35.0,0.0326,4
sta20,0,-100.0,100.0,1.0,1,-62.0,61.1111111111,0.0184,1,-73.0,53.3333333333,0.0318,0,-100.0,100.0,1.0,2
sta22,1,-73.0,60.0,0.0362,1,-63.0,61.1111111111,0.0199,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-64.0,61.1111111111,0.0211,1,-72.0,53.3333333333,0.0314,0,-100.0,100.0,1.0,2
sta1,1,-74.0,46.6666666667,0.0375,1,-72.0,72.2222222222,0.0398,1,-77.0,53.3333333333,0.0448,1,-76.0,45.0,0.0505,1
sta2,0,-100.0,100.0,1.0,1,-54.0,61.1111111111,0.0094,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,40.0,0.0127,0,-100.0,100.0,1.0,3
sta4,0,-100.0,100.0,1.0,1,-67.0,72.2222222222,0.0268,1,-70.0,40.0,0.0255,0,-100.0,100.0,1.0,3
sta5,1,-71.0,60.0,0.0295,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-74.0,35.0,0.0449,4
sta6,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-71.0,35.0,0.0364,4
sta7,1,-75.0,60.0,0.0424,1,-73.0,72.2222222222,0.0405,1,-76.0,53.3333333333,0.0404,1,-75.0,35.0,0.0495,4
sta8,0,-100.0,100.0,1.0,1,-73.0,72.2222222222,0.0417,1,-72.0,53.3333333333,0.0298,1,-76.0,35.0,0.0514,4
sta9,1,-74.0,60.0,0.0393,1,-69.0,61.1111111111,0.0304,1,-76.0,53.3333333333,0.0407,0,-100.0,100.0,1.0,2
sta10,1,-72.0,46.6666666667,0.0339,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-72.0,45.0,0.0383,1
sta11,0,-100.0,100.0,1.0,1,-66.0,61.1111111111,0.0233,1,-73.0,53.3333333333,0.0340,0,-100.0,100.0,1.0,2
sta12,0,-100.0,100.0,1.0,1,-68.0,72.2222222222,0.0289,1,-69.0,40.0,0.0246,0,-100.0,100.0,1.0,3
sta13,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-73.0,53.3333333333,0.0320,1,-73.0,35.0,0.0405,4
sta14,1,-71.0,46.6666666667,0.0311,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta15,1,-72.0,46.6666666667,0.0324,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1
sta16,0,-100.0,100.0,1.0,1,-75.0,72.2222222222,0.0495,1,-67.0,40.0,0.0204,0,-100.0,100.0,1.0,3
sta18,0,-100.0,100.0,1.0,1,-71.0,72.2222222222,0.0359,1,-73.0,40.0,0.0330,0,-100.0,100.0,1.0,3
sta19,1,-76.0,60.0,0.0447,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-71.0,35.0,0.0345,4
sta20,0,-100.0,100.0,1.0,1,-61.0,61.1111111111,0.0165,1,-73.0,53.3333333333,0.0337,0,-100.0,100.0,1.0,2
sta22,1,-73.0,60.0,0.0352,1,-63.0,61.1111111111,0.0193,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta24,0,-100.0,100.0,1.0,1,-63.0,61.1111111111,0.0194,1,-73.0,53.3333333333,0.0333,0,-100.0,100.0,1.0,2
sta1,1,-74.0,46.6666666667,0.0378,1,-73.0,72.2222222222,0.0399,1,-77.0,53.3333333333,0.0445,1,-76.0,45.0,0.0504,1
sta2,0,-100.0,100.0,1.0,1,-54.0,61.1111111111,0.0100,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,2
sta3,0,-100.0,100.0,1.0,0,-100.0,100.0,1.0,1,-61.0,40.0,0.0127,0,-100.0,100.0,1.0,3
